Statistic Label,Year,Nationality of Ownership,VALUE
Estimated Current Expenditure - Labour Costs,2007,All nationalities of ownership,
Estimated Current Expenditure - Labour Costs,2007,Irish ownership,
Estimated Current Expenditure - Labour Costs,2007,Non Irish ownership,
Estimated Current Expenditure - Labour Costs,2008,All nationalities of ownership,905373
Estimated Current Expenditure - Labour Costs,2008,Irish ownership,308698
Estimated Current Expenditure - Labour Costs,2008,Non Irish ownership,596675
Estimated Current Expenditure - Labour Costs,2009,All nationalities of ownership,
Estimated Current Expenditure - Labour Costs,2009,Irish ownership,
Estimated Current Expenditure - Labour Costs,2009,Non Irish ownership,
Estimated Current Expenditure - Labour Costs,2010,All nationalities of ownership,966140
Estimated Current Expenditure - Labour Costs,2010,Irish ownership,327009
Estimated Current Expenditure - Labour Costs,2010,Non Irish ownership,639132
Estimated Current Expenditure - Labour Costs,2011,All nationalities of ownership,
Estimated Current Expenditure - Labour Costs,2011,Irish ownership,
Estimated Current Expenditure - Labour Costs,2011,Non Irish ownership,
Estimated Current Expenditure - Labour Costs,2012,All nationalities of ownership,1091366
Estimated Current Expenditure - Labour Costs,2012,Irish ownership,364806
Estimated Current Expenditure - Labour Costs,2012,Non Irish ownership,726561
Estimated Current Expenditure - Labour Costs,2013,All nationalities of ownership,
Estimated Current Expenditure - Labour Costs,2013,Irish ownership,
Estimated Current Expenditure - Labour Costs,2013,Non Irish ownership,
Estimated Current Expenditure - Labour Costs,2014,All nationalities of ownership,1295455
Estimated Current Expenditure - Labour Costs,2014,Irish ownership,485083
Estimated Current Expenditure - Labour Costs,2014,Non Irish ownership,810373
Estimated Current Expenditure - Labour Costs,2015,All nationalities of ownership,
Estimated Current Expenditure - Labour Costs,2015,Irish ownership,
Estimated Current Expenditure - Labour Costs,2015,Non Irish ownership,
Estimated Current Expenditure - Labour Costs,2016,All nationalities of ownership,1392740
Estimated Current Expenditure - Labour Costs,2016,Irish ownership,585856
Estimated Current Expenditure - Labour Costs,2016,Non Irish ownership,806883
Estimated Current Expenditure - Labour Costs,2017,All nationalities of ownership,
Estimated Current Expenditure - Labour Costs,2017,Irish ownership,
Estimated Current Expenditure - Labour Costs,2017,Non Irish ownership,
Estimated Current Expenditure - Labour Costs,2018,All nationalities of ownership,1719637
Estimated Current Expenditure - Labour Costs,2018,Irish ownership,617344
Estimated Current Expenditure - Labour Costs,2018,Non Irish ownership,1102293
Estimated Current Expenditure - Labour Costs,2019,All nationalities of ownership,
Estimated Current Expenditure - Labour Costs,2019,Irish ownership,
Estimated Current Expenditure - Labour Costs,2019,Non Irish ownership,
Estimated Current Expenditure - Labour Costs,2020,All nationalities of ownership,1740674
Estimated Current Expenditure - Labour Costs,2020,Irish ownership,501746
Estimated Current Expenditure - Labour Costs,2020,Non Irish ownership,1238928
Estimated Current Expenditure - Labour Costs,2021,All nationalities of ownership,
Estimated Current Expenditure - Labour Costs,2021,Irish ownership,
Estimated Current Expenditure - Labour Costs,2021,Non Irish ownership,
Estimated Current Expenditure - Labour Costs,2022,All nationalities of ownership,2613573
Estimated Current Expenditure - Labour Costs,2022,Irish ownership,
Estimated Current Expenditure - Labour Costs,2022,Non Irish ownership,
Estimated Current Expenditure - Labour Costs,2023,All nationalities of ownership,
Estimated Current Expenditure - Labour Costs,2023,Irish ownership,
Estimated Current Expenditure - Labour Costs,2023,Non Irish ownership,
Estimated Current Expenditure - Labour Costs,2024,All nationalities of ownership,2765991
Estimated Current Expenditure - Labour Costs,2024,Irish ownership,
Estimated Current Expenditure - Labour Costs,2024,Non Irish ownership,
Estimated Current Expenditure - Other Current Costs,2007,All nationalities of ownership,
Estimated Current Expenditure - Other Current Costs,2007,Irish ownership,
Estimated Current Expenditure - Other Current Costs,2007,Non Irish ownership,
Estimated Current Expenditure - Other Current Costs,2008,All nationalities of ownership,510286
Estimated Current Expenditure - Other Current Costs,2008,Irish ownership,160376
Estimated Current Expenditure - Other Current Costs,2008,Non Irish ownership,349910
Estimated Current Expenditure - Other Current Costs,2009,All nationalities of ownership,
Estimated Current Expenditure - Other Current Costs,2009,Irish ownership,
Estimated Current Expenditure - Other Current Costs,2009,Non Irish ownership,
Estimated Current Expenditure - Other Current Costs,2010,All nationalities of ownership,566040
Estimated Current Expenditure - Other Current Costs,2010,Irish ownership,163132
Estimated Current Expenditure - Other Current Costs,2010,Non Irish ownership,402908
Estimated Current Expenditure - Other Current Costs,2011,All nationalities of ownership,
Estimated Current Expenditure - Other Current Costs,2011,Irish ownership,
Estimated Current Expenditure - Other Current Costs,2011,Non Irish ownership,
Estimated Current Expenditure - Other Current Costs,2012,All nationalities of ownership,641039
Estimated Current Expenditure - Other Current Costs,2012,Irish ownership,179132
Estimated Current Expenditure - Other Current Costs,2012,Non Irish ownership,461906
Estimated Current Expenditure - Other Current Costs,2013,All nationalities of ownership,
Estimated Current Expenditure - Other Current Costs,2013,Irish ownership,
Estimated Current Expenditure - Other Current Costs,2013,Non Irish ownership,
Estimated Current Expenditure - Other Current Costs,2014,All nationalities of ownership,631774
Estimated Current Expenditure - Other Current Costs,2014,Irish ownership,212096
Estimated Current Expenditure - Other Current Costs,2014,Non Irish ownership,419678
Estimated Current Expenditure - Other Current Costs,2015,All nationalities of ownership,
Estimated Current Expenditure - Other Current Costs,2015,Irish ownership,
Estimated Current Expenditure - Other Current Costs,2015,Non Irish ownership,
Estimated Current Expenditure - Other Current Costs,2016,All nationalities of ownership,697871
Estimated Current Expenditure - Other Current Costs,2016,Irish ownership,255923
Estimated Current Expenditure - Other Current Costs,2016,Non Irish ownership,441948
Estimated Current Expenditure - Other Current Costs,2017,All nationalities of ownership,
Estimated Current Expenditure - Other Current Costs,2017,Irish ownership,
Estimated Current Expenditure - Other Current Costs,2017,Non Irish ownership,
Estimated Current Expenditure - Other Current Costs,2018,All nationalities of ownership,821929
Estimated Current Expenditure - Other Current Costs,2018,Irish ownership,250183
Estimated Current Expenditure - Other Current Costs,2018,Non Irish ownership,571745
Estimated Current Expenditure - Other Current Costs,2019,All nationalities of ownership,
Estimated Current Expenditure - Other Current Costs,2019,Irish ownership,
Estimated Current Expenditure - Other Current Costs,2019,Non Irish ownership,
Estimated Current Expenditure - Other Current Costs,2020,All nationalities of ownership,796039
Estimated Current Expenditure - Other Current Costs,2020,Irish ownership,235744
Estimated Current Expenditure - Other Current Costs,2020,Non Irish ownership,560295
Estimated Current Expenditure - Other Current Costs,2021,All nationalities of ownership,
Estimated Current Expenditure - Other Current Costs,2021,Irish ownership,
Estimated Current Expenditure - Other Current Costs,2021,Non Irish ownership,
Estimated Current Expenditure - Other Current Costs,2022,All nationalities of ownership,1972629
Estimated Current Expenditure - Other Current Costs,2022,Irish ownership,
Estimated Current Expenditure - Other Current Costs,2022,Non Irish ownership,
Estimated Current Expenditure - Other Current Costs,2023,All nationalities of ownership,
Estimated Current Expenditure - Other Current Costs,2023,Irish ownership,
Estimated Current Expenditure - Other Current Costs,2023,Non Irish ownership,
Estimated Current Expenditure - Other Current Costs,2024,All nationalities of ownership,1938219
Estimated Current Expenditure - Other Current Costs,2024,Irish ownership,
Estimated Current Expenditure - Other Current Costs,2024,Non Irish ownership,
Estimated Total Current Expenditure,2007,All nationalities of ownership,
Estimated Total Current Expenditure,2007,Irish ownership,
Estimated Total Current Expenditure,2007,Non Irish ownership,
