Statistic Label,Year,Nationality of Ownership,Expenditure,VALUE
Enterprises Engaged in Research and Development Activities (Number),2007,All nationalities of ownership,Any expenditure,1206
Enterprises Engaged in Research and Development Activities (Number),2007,All nationalities of ownership,"€0 - €99,999",419
Enterprises Engaged in Research and Development Activities (Number),2007,All nationalities of ownership,"€100,000 - €499,999",398
Enterprises Engaged in Research and Development Activities (Number),2007,All nationalities of ownership,"€500,000 - €1,999,999",226
Enterprises Engaged in Research and Development Activities (Number),2007,All nationalities of ownership,"€2,000,000 - €4,999,999",90
Enterprises Engaged in Research and Development Activities (Number),2007,All nationalities of ownership,"€5,000,000 and over",73
Enterprises Engaged in Research and Development Activities (Number),2007,Irish ownership,Any expenditure,817
Enterprises Engaged in Research and Development Activities (Number),2007,Irish ownership,"€0 - €99,999",328
Enterprises Engaged in Research and Development Activities (Number),2007,Irish ownership,"€100,000 - €499,999",293
Enterprises Engaged in Research and Development Activities (Number),2007,Irish ownership,"€500,000 - €1,999,999",147
Enterprises Engaged in Research and Development Activities (Number),2007,Irish ownership,"€2,000,000 - €4,999,999",37
Enterprises Engaged in Research and Development Activities (Number),2007,Irish ownership,"€5,000,000 and over",12
Enterprises Engaged in Research and Development Activities (Number),2007,Non Irish ownership,Any expenditure,389
Enterprises Engaged in Research and Development Activities (Number),2007,Non Irish ownership,"€0 - €99,999",91
Enterprises Engaged in Research and Development Activities (Number),2007,Non Irish ownership,"€100,000 - €499,999",105
Enterprises Engaged in Research and Development Activities (Number),2007,Non Irish ownership,"€500,000 - €1,999,999",79
Enterprises Engaged in Research and Development Activities (Number),2007,Non Irish ownership,"€2,000,000 - €4,999,999",54
Enterprises Engaged in Research and Development Activities (Number),2007,Non Irish ownership,"€5,000,000 and over",61
Enterprises Engaged in Research and Development Activities (Number),2009,All nationalities of ownership,Any expenditure,1283
Enterprises Engaged in Research and Development Activities (Number),2009,All nationalities of ownership,"€0 - €99,999",435
Enterprises Engaged in Research and Development Activities (Number),2009,All nationalities of ownership,"€100,000 - €499,999",439
Enterprises Engaged in Research and Development Activities (Number),2009,All nationalities of ownership,"€500,000 - €1,999,999",277
Enterprises Engaged in Research and Development Activities (Number),2009,All nationalities of ownership,"€2,000,000 - €4,999,999",65
Enterprises Engaged in Research and Development Activities (Number),2009,All nationalities of ownership,"€5,000,000 and over",67
Enterprises Engaged in Research and Development Activities (Number),2009,Irish ownership,Any expenditure,952
Enterprises Engaged in Research and Development Activities (Number),2009,Irish ownership,"€0 - €99,999",384
Enterprises Engaged in Research and Development Activities (Number),2009,Irish ownership,"€100,000 - €499,999",352
Enterprises Engaged in Research and Development Activities (Number),2009,Irish ownership,"€500,000 - €1,999,999",170
Enterprises Engaged in Research and Development Activities (Number),2009,Irish ownership,"€2,000,000 - €4,999,999",34
Enterprises Engaged in Research and Development Activities (Number),2009,Irish ownership,"€5,000,000 and over",12
Enterprises Engaged in Research and Development Activities (Number),2009,Non Irish ownership,Any expenditure,331
Enterprises Engaged in Research and Development Activities (Number),2009,Non Irish ownership,"€0 - €99,999",51
Enterprises Engaged in Research and Development Activities (Number),2009,Non Irish ownership,"€100,000 - €499,999",87
Enterprises Engaged in Research and Development Activities (Number),2009,Non Irish ownership,"€500,000 - €1,999,999",107
Enterprises Engaged in Research and Development Activities (Number),2009,Non Irish ownership,"€2,000,000 - €4,999,999",31
Enterprises Engaged in Research and Development Activities (Number),2009,Non Irish ownership,"€5,000,000 and over",55
Enterprises Engaged in Research and Development Activities (Number),2011,All nationalities of ownership,Any expenditure,1609
Enterprises Engaged in Research and Development Activities (Number),2011,All nationalities of ownership,"€0 - €99,999",539
Enterprises Engaged in Research and Development Activities (Number),2011,All nationalities of ownership,"€100,000 - €499,999",629
Enterprises Engaged in Research and Development Activities (Number),2011,All nationalities of ownership,"€500,000 - €1,999,999",288
Enterprises Engaged in Research and Development Activities (Number),2011,All nationalities of ownership,"€2,000,000 - €4,999,999",84
Enterprises Engaged in Research and Development Activities (Number),2011,All nationalities of ownership,"€5,000,000 and over",69
Enterprises Engaged in Research and Development Activities (Number),2011,Irish ownership,Any expenditure,1192
Enterprises Engaged in Research and Development Activities (Number),2011,Irish ownership,"€0 - €99,999",460
Enterprises Engaged in Research and Development Activities (Number),2011,Irish ownership,"€100,000 - €499,999",500
Enterprises Engaged in Research and Development Activities (Number),2011,Irish ownership,"€500,000 - €1,999,999",192
Enterprises Engaged in Research and Development Activities (Number),2011,Irish ownership,"€2,000,000 - €4,999,999",25
Enterprises Engaged in Research and Development Activities (Number),2011,Irish ownership,"€5,000,000 and over",15
Enterprises Engaged in Research and Development Activities (Number),2011,Non Irish ownership,Any expenditure,417
Enterprises Engaged in Research and Development Activities (Number),2011,Non Irish ownership,"€0 - €99,999",79
Enterprises Engaged in Research and Development Activities (Number),2011,Non Irish ownership,"€100,000 - €499,999",129
Enterprises Engaged in Research and Development Activities (Number),2011,Non Irish ownership,"€500,000 - €1,999,999",96
Enterprises Engaged in Research and Development Activities (Number),2011,Non Irish ownership,"€2,000,000 - €4,999,999",59
