STATISTIC Label,TLIST(A1),Year,Type of Innovation,VALUE
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Any intellectual innovation,
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Any intellectual innovation,
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Any intellectual innovation,
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Apply for a patent,
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Apply for a patent,
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Apply for a patent,
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Apply for a European utility model,
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Apply for a European utility model,
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Apply for a European utility model,
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Register an industrial design right,
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Register an industrial design right,
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Register an industrial design right,
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Register a trademark,
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Register a trademark,
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Register a trademark,
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,All enterprises using trade secrets,
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,All enterprises using trade secrets,
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,All enterprises using trade secrets,
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,All enterprises claiming copyright,
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,All enterprises claiming copyright,
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,All enterprises claiming copyright,
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Any intellectual innovation,15.9
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Any intellectual innovation,12.7
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Any intellectual innovation,11
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Apply for a patent,9.1
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Apply for a patent,5.7
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Apply for a patent,4
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Apply for a European utility model,1
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Apply for a European utility model,0.5
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Apply for a European utility model,0.2
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Register an industrial design right,1.6
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Register an industrial design right,0.8
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Register an industrial design right,0.4
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Register a trademark,8.1
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Register a trademark,7.3
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Register a trademark,7
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,All enterprises using trade secrets,5.1
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,All enterprises using trade secrets,3.1
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,All enterprises using trade secrets,2.1
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,All enterprises claiming copyright,2
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,All enterprises claiming copyright,3.1
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,All enterprises claiming copyright,3.6
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Any intellectual innovation,19.8
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Any intellectual innovation,15.3
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Any intellectual innovation,12.7
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Apply for a patent,10.2
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Apply for a patent,7.1
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Apply for a patent,5.4
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Apply for a European utility model,
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Apply for a European utility model,
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Apply for a European utility model,
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Register an industrial design right,4.1
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Register an industrial design right,2.6
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Register an industrial design right,1.8
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Register a trademark,10
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Register a trademark,8.5
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Register a trademark,7.7
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,All enterprises using trade secrets,7.3
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,All enterprises using trade secrets,5.5
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,All enterprises using trade secrets,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,All enterprises claiming copyright,3.2
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,All enterprises claiming copyright,3.4
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,All enterprises claiming copyright,3.5
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Any intellectual innovation,15.9
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Any intellectual innovation,12.1
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Any intellectual innovation,9.9
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Apply for a patent,8.4
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Apply for a patent,6
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Apply for a patent,4.7
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Apply for a European utility model,
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Apply for a European utility model,
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Apply for a European utility model,
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Register an industrial design right,1.7
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Register an industrial design right,1.2
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Register an industrial design right,1
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Register a trademark,7.8
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Register a trademark,6.4
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Register a trademark,5.6
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,All enterprises using trade secrets,2.7
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,All enterprises using trade secrets,2.1
