statistic_label,year,nationality_of_ownership,value
Estimated Current Expenditure - Labour Costs,2007,All nationalities,187171.0
Estimated Current Expenditure - Labour Costs,2007,Irish ownership,187171.0
Estimated Current Expenditure - Labour Costs,2007,Non-Irish ownership,187171.0
Estimated Current Expenditure - Labour Costs,2008,All nationalities,905373.0
Estimated Current Expenditure - Labour Costs,2008,Irish ownership,308698.0
Estimated Current Expenditure - Labour Costs,2008,Non-Irish ownership,596675.0
Estimated Current Expenditure - Labour Costs,2009,All nationalities,187171.0
Estimated Current Expenditure - Labour Costs,2009,Irish ownership,187171.0
Estimated Current Expenditure - Labour Costs,2009,Non-Irish ownership,187171.0
Estimated Current Expenditure - Labour Costs,2010,All nationalities,966140.0
Estimated Current Expenditure - Labour Costs,2010,Irish ownership,327009.0
Estimated Current Expenditure - Labour Costs,2010,Non-Irish ownership,639132.0
Estimated Current Expenditure - Labour Costs,2011,All nationalities,187171.0
Estimated Current Expenditure - Labour Costs,2011,Irish ownership,187171.0
Estimated Current Expenditure - Labour Costs,2011,Non-Irish ownership,187171.0
Estimated Current Expenditure - Labour Costs,2012,All nationalities,1091366.0
Estimated Current Expenditure - Labour Costs,2012,Irish ownership,364806.0
Estimated Current Expenditure - Labour Costs,2012,Non-Irish ownership,726561.0
Estimated Current Expenditure - Labour Costs,2013,All nationalities,187171.0
Estimated Current Expenditure - Labour Costs,2013,Irish ownership,187171.0
Estimated Current Expenditure - Labour Costs,2013,Non-Irish ownership,187171.0
Estimated Current Expenditure - Labour Costs,2014,All nationalities,1295455.0
Estimated Current Expenditure - Labour Costs,2014,Irish ownership,485083.0
Estimated Current Expenditure - Labour Costs,2014,Non-Irish ownership,810373.0
Estimated Current Expenditure - Labour Costs,2015,All nationalities,187171.0
Estimated Current Expenditure - Labour Costs,2015,Irish ownership,187171.0
Estimated Current Expenditure - Labour Costs,2015,Non-Irish ownership,187171.0
Estimated Current Expenditure - Labour Costs,2016,All nationalities,1392740.0
Estimated Current Expenditure - Labour Costs,2016,Irish ownership,585856.0
Estimated Current Expenditure - Labour Costs,2016,Non-Irish ownership,806883.0
Estimated Current Expenditure - Labour Costs,2017,All nationalities,187171.0
Estimated Current Expenditure - Labour Costs,2017,Irish ownership,187171.0
Estimated Current Expenditure - Labour Costs,2017,Non-Irish ownership,187171.0
Estimated Current Expenditure - Labour Costs,2018,All nationalities,1719637.0
Estimated Current Expenditure - Labour Costs,2018,Irish ownership,617344.0
Estimated Current Expenditure - Labour Costs,2018,Non-Irish ownership,1102293.0
Estimated Current Expenditure - Labour Costs,2019,All nationalities,187171.0
Estimated Current Expenditure - Labour Costs,2019,Irish ownership,187171.0
Estimated Current Expenditure - Labour Costs,2019,Non-Irish ownership,187171.0
Estimated Current Expenditure - Labour Costs,2020,All nationalities,1740674.0
Estimated Current Expenditure - Labour Costs,2020,Irish ownership,501746.0
Estimated Current Expenditure - Labour Costs,2020,Non-Irish ownership,1238928.0
Estimated Current Expenditure - Labour Costs,2021,All nationalities,187171.0
Estimated Current Expenditure - Labour Costs,2021,Irish ownership,187171.0
Estimated Current Expenditure - Labour Costs,2021,Non-Irish ownership,187171.0
Estimated Current Expenditure - Labour Costs,2022,All nationalities,2613573.0
Estimated Current Expenditure - Labour Costs,2022,Irish ownership,187171.0
Estimated Current Expenditure - Labour Costs,2022,Non-Irish ownership,187171.0
Estimated Current Expenditure - Labour Costs,2023,All nationalities,187171.0
Estimated Current Expenditure - Labour Costs,2023,Irish ownership,187171.0
Estimated Current Expenditure - Labour Costs,2023,Non-Irish ownership,187171.0
Estimated Current Expenditure - Labour Costs,2024,All nationalities,2765991.0
Estimated Current Expenditure - Labour Costs,2024,Irish ownership,187171.0
Estimated Current Expenditure - Labour Costs,2024,Non-Irish ownership,187171.0
Estimated Current Expenditure - Other Current Costs,2007,All nationalities,187171.0
Estimated Current Expenditure - Other Current Costs,2007,Irish ownership,187171.0
Estimated Current Expenditure - Other Current Costs,2007,Non-Irish ownership,187171.0
Estimated Current Expenditure - Other Current Costs,2008,All nationalities,510286.0
Estimated Current Expenditure - Other Current Costs,2008,Irish ownership,160376.0
Estimated Current Expenditure - Other Current Costs,2008,Non-Irish ownership,349910.0
Estimated Current Expenditure - Other Current Costs,2009,All nationalities,187171.0
Estimated Current Expenditure - Other Current Costs,2009,Irish ownership,187171.0
Estimated Current Expenditure - Other Current Costs,2009,Non-Irish ownership,187171.0
Estimated Current Expenditure - Other Current Costs,2010,All nationalities,566040.0
Estimated Current Expenditure - Other Current Costs,2010,Irish ownership,163132.0
Estimated Current Expenditure - Other Current Costs,2010,Non-Irish ownership,402908.0
Estimated Current Expenditure - Other Current Costs,2011,All nationalities,187171.0
Estimated Current Expenditure - Other Current Costs,2011,Irish ownership,187171.0
Estimated Current Expenditure - Other Current Costs,2011,Non-Irish ownership,187171.0
Estimated Current Expenditure - Other Current Costs,2012,All nationalities,641039.0
Estimated Current Expenditure - Other Current Costs,2012,Irish ownership,179132.0
Estimated Current Expenditure - Other Current Costs,2012,Non-Irish ownership,461906.0
Estimated Current Expenditure - Other Current Costs,2013,All nationalities,187171.0
Estimated Current Expenditure - Other Current Costs,2013,Irish ownership,187171.0
Estimated Current Expenditure - Other Current Costs,2013,Non-Irish ownership,187171.0
Estimated Current Expenditure - Other Current Costs,2014,All nationalities,631774.0
Estimated Current Expenditure - Other Current Costs,2014,Irish ownership,212096.0
Estimated Current Expenditure - Other Current Costs,2014,Non-Irish ownership,419678.0
Estimated Current Expenditure - Other Current Costs,2015,All nationalities,187171.0
Estimated Current Expenditure - Other Current Costs,2015,Irish ownership,187171.0
Estimated Current Expenditure - Other Current Costs,2015,Non-Irish ownership,187171.0
Estimated Current Expenditure - Other Current Costs,2016,All nationalities,697871.0
Estimated Current Expenditure - Other Current Costs,2016,Irish ownership,255923.0
Estimated Current Expenditure - Other Current Costs,2016,Non-Irish ownership,441948.0
Estimated Current Expenditure - Other Current Costs,2017,All nationalities,187171.0
Estimated Current Expenditure - Other Current Costs,2017,Irish ownership,187171.0
Estimated Current Expenditure - Other Current Costs,2017,Non-Irish ownership,187171.0
Estimated Current Expenditure - Other Current Costs,2018,All nationalities,821929.0
Estimated Current Expenditure - Other Current Costs,2018,Irish ownership,250183.0
Estimated Current Expenditure - Other Current Costs,2018,Non-Irish ownership,571745.0
Estimated Current Expenditure - Other Current Costs,2019,All nationalities,187171.0
Estimated Current Expenditure - Other Current Costs,2019,Irish ownership,187171.0
Estimated Current Expenditure - Other Current Costs,2019,Non-Irish ownership,187171.0
Estimated Current Expenditure - Other Current Costs,2020,All nationalities,796039.0
Estimated Current Expenditure - Other Current Costs,2020,Irish ownership,235744.0
Estimated Current Expenditure - Other Current Costs,2020,Non-Irish ownership,560295.0
Estimated Current Expenditure - Other Current Costs,2021,All nationalities,187171.0
Estimated Current Expenditure - Other Current Costs,2021,Irish ownership,187171.0
Estimated Current Expenditure - Other Current Costs,2021,Non-Irish ownership,187171.0
Estimated Current Expenditure - Other Current Costs,2022,All nationalities,1972629.0
Estimated Current Expenditure - Other Current Costs,2022,Irish ownership,187171.0
Estimated Current Expenditure - Other Current Costs,2022,Non-Irish ownership,187171.0
Estimated Current Expenditure - Other Current Costs,2023,All nationalities,187171.0
Estimated Current Expenditure - Other Current Costs,2023,Irish ownership,187171.0
Estimated Current Expenditure - Other Current Costs,2023,Non-Irish ownership,187171.0
Estimated Current Expenditure - Other Current Costs,2024,All nationalities,1938219.0
Estimated Current Expenditure - Other Current Costs,2024,Irish ownership,187171.0
Estimated Current Expenditure - Other Current Costs,2024,Non-Irish ownership,187171.0
Estimated Total Current Expenditure,2007,All nationalities,187171.0
Estimated Total Current Expenditure,2007,Irish ownership,187171.0
Estimated Total Current Expenditure,2007,Non-Irish ownership,187171.0
Estimated Total Current Expenditure,2008,All nationalities,1415659.0
Estimated Total Current Expenditure,2008,Irish ownership,469074.0
Estimated Total Current Expenditure,2008,Non-Irish ownership,946585.0
Estimated Total Current Expenditure,2009,All nationalities,187171.0
Estimated Total Current Expenditure,2009,Irish ownership,187171.0
Estimated Total Current Expenditure,2009,Non-Irish ownership,187171.0
Estimated Total Current Expenditure,2010,All nationalities,1532181.0
Estimated Total Current Expenditure,2010,Irish ownership,490141.0
Estimated Total Current Expenditure,2010,Non-Irish ownership,1042040.0
Estimated Total Current Expenditure,2011,All nationalities,187171.0
Estimated Total Current Expenditure,2011,Irish ownership,187171.0
Estimated Total Current Expenditure,2011,Non-Irish ownership,187171.0
Estimated Total Current Expenditure,2012,All nationalities,1732405.0
Estimated Total Current Expenditure,2012,Irish ownership,543938.0
Estimated Total Current Expenditure,2012,Non-Irish ownership,1188467.0
Estimated Total Current Expenditure,2013,All nationalities,187171.0
Estimated Total Current Expenditure,2013,Irish ownership,187171.0
Estimated Total Current Expenditure,2013,Non-Irish ownership,187171.0
Estimated Total Current Expenditure,2014,All nationalities,1927229.0
Estimated Total Current Expenditure,2014,Irish ownership,697179.0
Estimated Total Current Expenditure,2014,Non-Irish ownership,1230051.0
Estimated Total Current Expenditure,2015,All nationalities,187171.0
Estimated Total Current Expenditure,2015,Irish ownership,187171.0
Estimated Total Current Expenditure,2015,Non-Irish ownership,187171.0
Estimated Total Current Expenditure,2016,All nationalities,2090611.0
Estimated Total Current Expenditure,2016,Irish ownership,841780.0
Estimated Total Current Expenditure,2016,Non-Irish ownership,1248831.0
Estimated Total Current Expenditure,2017,All nationalities,187171.0
Estimated Total Current Expenditure,2017,Irish ownership,187171.0
Estimated Total Current Expenditure,2017,Non-Irish ownership,187171.0
Estimated Total Current Expenditure,2018,All nationalities,2541566.0
Estimated Total Current Expenditure,2018,Irish ownership,867527.0
Estimated Total Current Expenditure,2018,Non-Irish ownership,1674038.0
Estimated Total Current Expenditure,2019,All nationalities,187171.0
Estimated Total Current Expenditure,2019,Irish ownership,187171.0
Estimated Total Current Expenditure,2019,Non-Irish ownership,187171.0
Estimated Total Current Expenditure,2020,All nationalities,2536714.0
Estimated Total Current Expenditure,2020,Irish ownership,737490.0
Estimated Total Current Expenditure,2020,Non-Irish ownership,1799224.0
Estimated Total Current Expenditure,2021,All nationalities,187171.0
Estimated Total Current Expenditure,2021,Irish ownership,187171.0
Estimated Total Current Expenditure,2021,Non-Irish ownership,187171.0
Estimated Total Current Expenditure,2022,All nationalities,4586202.0
Estimated Total Current Expenditure,2022,Irish ownership,187171.0
Estimated Total Current Expenditure,2022,Non-Irish ownership,187171.0
Estimated Total Current Expenditure,2023,All nationalities,187171.0
Estimated Total Current Expenditure,2023,Irish ownership,187171.0
Estimated Total Current Expenditure,2023,Non-Irish ownership,187171.0
Estimated Total Current Expenditure,2024,All nationalities,4704210.0
Estimated Total Current Expenditure,2024,Irish ownership,187171.0
