statistic_label,year,nationality_of_ownership,expenditure,value
Enterprises Engaged in Research and Development Activities (Number),2007,All nationalities,Any,1206.0
Enterprises Engaged in Research and Development Activities (Number),2007,All nationalities,0-99k,419.0
Enterprises Engaged in Research and Development Activities (Number),2007,All nationalities,100k-499k,398.0
Enterprises Engaged in Research and Development Activities (Number),2007,All nationalities,500k-1.99M,226.0
Enterprises Engaged in Research and Development Activities (Number),2007,All nationalities,2M-4.99M,90.0
Enterprises Engaged in Research and Development Activities (Number),2007,All nationalities,5M+,73.0
Enterprises Engaged in Research and Development Activities (Number),2007,Irish ownership,Any,817.0
Enterprises Engaged in Research and Development Activities (Number),2007,Irish ownership,0-99k,328.0
Enterprises Engaged in Research and Development Activities (Number),2007,Irish ownership,100k-499k,293.0
Enterprises Engaged in Research and Development Activities (Number),2007,Irish ownership,500k-1.99M,147.0
Enterprises Engaged in Research and Development Activities (Number),2007,Irish ownership,2M-4.99M,37.0
Enterprises Engaged in Research and Development Activities (Number),2007,Irish ownership,5M+,12.0
Enterprises Engaged in Research and Development Activities (Number),2007,Non-Irish ownership,Any,389.0
Enterprises Engaged in Research and Development Activities (Number),2007,Non-Irish ownership,0-99k,91.0
Enterprises Engaged in Research and Development Activities (Number),2007,Non-Irish ownership,100k-499k,105.0
Enterprises Engaged in Research and Development Activities (Number),2007,Non-Irish ownership,500k-1.99M,79.0
Enterprises Engaged in Research and Development Activities (Number),2007,Non-Irish ownership,2M-4.99M,54.0
Enterprises Engaged in Research and Development Activities (Number),2007,Non-Irish ownership,5M+,61.0
Enterprises Engaged in Research and Development Activities (Number),2009,All nationalities,Any,1283.0
Enterprises Engaged in Research and Development Activities (Number),2009,All nationalities,0-99k,435.0
Enterprises Engaged in Research and Development Activities (Number),2009,All nationalities,100k-499k,439.0
Enterprises Engaged in Research and Development Activities (Number),2009,All nationalities,500k-1.99M,277.0
Enterprises Engaged in Research and Development Activities (Number),2009,All nationalities,2M-4.99M,65.0
Enterprises Engaged in Research and Development Activities (Number),2009,All nationalities,5M+,67.0
Enterprises Engaged in Research and Development Activities (Number),2009,Irish ownership,Any,952.0
Enterprises Engaged in Research and Development Activities (Number),2009,Irish ownership,0-99k,384.0
Enterprises Engaged in Research and Development Activities (Number),2009,Irish ownership,100k-499k,352.0
Enterprises Engaged in Research and Development Activities (Number),2009,Irish ownership,500k-1.99M,170.0
Enterprises Engaged in Research and Development Activities (Number),2009,Irish ownership,2M-4.99M,34.0
Enterprises Engaged in Research and Development Activities (Number),2009,Irish ownership,5M+,12.0
Enterprises Engaged in Research and Development Activities (Number),2009,Non-Irish ownership,Any,331.0
Enterprises Engaged in Research and Development Activities (Number),2009,Non-Irish ownership,0-99k,51.0
Enterprises Engaged in Research and Development Activities (Number),2009,Non-Irish ownership,100k-499k,87.0
Enterprises Engaged in Research and Development Activities (Number),2009,Non-Irish ownership,500k-1.99M,107.0
Enterprises Engaged in Research and Development Activities (Number),2009,Non-Irish ownership,2M-4.99M,31.0
Enterprises Engaged in Research and Development Activities (Number),2009,Non-Irish ownership,5M+,55.0
Enterprises Engaged in Research and Development Activities (Number),2011,All nationalities,Any,1609.0
Enterprises Engaged in Research and Development Activities (Number),2011,All nationalities,0-99k,539.0
Enterprises Engaged in Research and Development Activities (Number),2011,All nationalities,100k-499k,629.0
Enterprises Engaged in Research and Development Activities (Number),2011,All nationalities,500k-1.99M,288.0
Enterprises Engaged in Research and Development Activities (Number),2011,All nationalities,2M-4.99M,84.0
Enterprises Engaged in Research and Development Activities (Number),2011,All nationalities,5M+,69.0
Enterprises Engaged in Research and Development Activities (Number),2011,Irish ownership,Any,1192.0
Enterprises Engaged in Research and Development Activities (Number),2011,Irish ownership,0-99k,460.0
Enterprises Engaged in Research and Development Activities (Number),2011,Irish ownership,100k-499k,500.0
Enterprises Engaged in Research and Development Activities (Number),2011,Irish ownership,500k-1.99M,192.0
Enterprises Engaged in Research and Development Activities (Number),2011,Irish ownership,2M-4.99M,25.0
Enterprises Engaged in Research and Development Activities (Number),2011,Irish ownership,5M+,15.0
Enterprises Engaged in Research and Development Activities (Number),2011,Non-Irish ownership,Any,417.0
Enterprises Engaged in Research and Development Activities (Number),2011,Non-Irish ownership,0-99k,79.0
Enterprises Engaged in Research and Development Activities (Number),2011,Non-Irish ownership,100k-499k,129.0
Enterprises Engaged in Research and Development Activities (Number),2011,Non-Irish ownership,500k-1.99M,96.0
Enterprises Engaged in Research and Development Activities (Number),2011,Non-Irish ownership,2M-4.99M,59.0
Enterprises Engaged in Research and Development Activities (Number),2011,Non-Irish ownership,5M+,54.0
Enterprises Engaged in Research and Development Activities (Number),2013,All nationalities,Any,1979.0
