statistic_label,tlist(a1),year,type_of_innovation,value
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Any,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Any,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Any,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Patent,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Patent,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Patent,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Utility Model,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Utility Model,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Utility Model,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Industrial Design,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Industrial Design,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Industrial Design,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Trademark,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Trademark,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Trademark,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Trade Secret,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Trade Secret,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Trade Secret,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Copyright,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Copyright,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2014,2014,Copyright,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Any,15.9
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Any,12.7
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Any,11.0
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Patent,9.1
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Patent,5.7
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Patent,4.0
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Utility Model,1.0
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Utility Model,0.5
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Utility Model,0.2
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Industrial Design,1.6
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Industrial Design,0.8
