year,ownership,rd_expenditure,value_kind
2007,Irish ownership,443010.0,actual
2007,Non Irish ownership,1160174.0,actual
2008,Irish ownership,521449.0,estimate
2008,Non Irish ownership,1165283.0,estimate
2009,Irish ownership,563217.0,actual
2009,Non Irish ownership,1305239.0,actual
2010,Irish ownership,583452.0,estimate
2010,Non Irish ownership,1250155.0,estimate
2011,Irish ownership,536868.0,actual
2011,Non Irish ownership,1220357.0,actual
2012,Irish ownership,577747.0,estimate
2012,Non Irish ownership,1281622.0,estimate
2013,Irish ownership,703121.0,actual
2013,Non Irish ownership,1318742.0,actual
2014,Irish ownership,754857.0,estimate
2014,Non Irish ownership,1336295.0,estimate
2015,Irish ownership,809662.0,actual
2015,Non Irish ownership,1423395.0,actual
2016,Irish ownership,926004.0,estimate
2016,Non Irish ownership,1366821.0,estimate
2017,Irish ownership,858849.0,actual
2017,Non Irish ownership,1911365.0,actual
2018,Irish ownership,967088.0,estimate
2018,Non Irish ownership,1810659.0,estimate
2019,Irish ownership,962985.0,actual
2019,Non Irish ownership,2293309.0,actual
2020,Irish ownership,977845.0,estimate
2020,Non Irish ownership,2413320.0,estimate
2021,Irish ownership,1177296.0,actual
2021,Non Irish ownership,2701711.0,actual
2022,Irish ownership,1143697.0,estimate
2022,Non Irish ownership,5851278.0,estimate
2023,Irish ownership,1132247.0,actual
2023,Non Irish ownership,5871498.0,actual
2024,Irish ownership,1012941.0,estimate
2024,Non Irish ownership,5576624.0,estimate
